wave,varname,source,,,,
2001,head_age,ER17013,,,,
2003,head_age,ER21017,,,,
2005,head_age,ER25017,,2001,spouse_race,ER19897
2007,head_age,ER36017,,2001,head_ethnicity,ER19993
2009,head_age,ER42017,,2001,spouse_ethnicity,ER19901
2011,head_age,ER47317,,2003,head_age,ER21017
2013,head_age,ER53017,,2003,spouse_age,ER21019
2015,head_age,ER60017,,2003,head_race,ER23426
2017,head_age,ER66017,,2003,spouse_race,ER23334
2019,head_age,ER72017,,2003,head_ethnicity,ER23430
2021,head_age,ER78017,,2003,spouse_ethnicity,ER23338
2001,head_sex,ER17014,,,,
2003,head_sex,ER21018,,,,
2005,head_sex,ER25018,,,,
2007,head_sex,ER36018,,,,
2009,head_sex,ER42018,,,,
2011,head_sex,ER47318,,,,
2013,head_sex,ER53018,,,,
2015,head_sex,ER60018,,,,
2017,head_sex,ER66018,,,,
2019,head_sex,ER72018,,,,
2021,head_sex,ER78018,,,,
2001,head_race,ER19989,,,,
2003,head_race,ER23426,,,,
2005,head_race,ER27393,,,,
2007,head_race,ER40565,,,,
2009,head_race,ER46543,,,,
2011,head_race,ER51904,,,,
2013,head_race,ER57659,,,,
2015,head_race,ER64810,,,,
2017,head_race,ER70882,,,,
2019,head_race,ER76897,,,,
2021,head_race,ER81144,,,,
2001,spouse_age,ER17015,,,,
2003,spouse_age,ER21019,,,,
2005,spouse_age,ER25019,,,,
2007,spouse_age,ER36019,,,,
2009,spouse_age,ER42019,,,,
2011,spouse_age,ER47319,,,,
2013,spouse_age,ER53019,,,,
2015,spouse_age,ER60019,,,,
2017,spouse_age,ER66019,,,,
2019,spouse_age,ER72019,,,,
2021,spouse_age,ER78019,,,,
2001,spouse_race,ER19897,,,,
2003,spouse_race,ER23334,,,,
2005,spouse_race,ER27297,,,,
2007,spouse_race,ER40472,,,,
2009,spouse_race,ER46449,,,,
2011,spouse_race,ER51810,,,,
2013,spouse_race,ER57549,,,,
2015,spouse_race,ER64671,,,,
2017,spouse_race,ER70744,,,,
2019,spouse_race,ER76752,,,,
2021,spouse_race,ER81017,,,,
